,airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment
5255,AA,24.0,DFW,3670.0,MAD,1229.0,,0,777
5256,AA,24.0,DFW,3670.0,MAF,3652.0,Y,0,ERD CRJ ER4
5257,AA,24.0,DFW,3670.0,MBJ,1780.0,,0,738
5258,AA,24.0,DFW,3670.0,MCI,3458.0,,0,M80 M83
5259,AA,24.0,DFW,3670.0,MCO,3878.0,,0,738 M80 M83 757
5260,AA,24.0,DFW,3670.0,MEM,3473.0,,0,319
5261,AA,24.0,DFW,3670.0,MEX,1824.0,,0,M80 M83
5262,AA,24.0,DFW,3670.0,MFE,3826.0,,0,319 M80 M83
5263,AA,24.0,DFW,3670.0,MGM,4115.0,Y,0,ER4 ERD
5264,AA,24.0,DFW,3670.0,MHK,4050.0,Y,0,ER4 ERD
5265,AA,24.0,DFW,3670.0,MIA,3576.0,,0,738 763 757
5266,AA,24.0,DFW,3670.0,MKE,3717.0,,0,M80 M83
5267,AA,24.0,DFW,3670.0,MLI,4072.0,Y,0,ERD ER4
5268,AA,24.0,DFW,3670.0,MLM,1821.0,Y,0,ER4
5269,AA,24.0,DFW,3670.0,MLU,3732.0,Y,0,ER4 CRJ
5270,AA,24.0,DFW,3670.0,MOB,3782.0,Y,0,ER4 CRJ
5271,AA,24.0,DFW,3670.0,MSN,3459.0,Y,0,ER4 CRJ
5272,AA,24.0,DFW,3670.0,MSP,3858.0,,0,M80 M83 738
