source,source_id,layover,layover_id,dest,dest_id
LEX,4017,DFW,3670,CDG,1382
LEX,4017,DFW,3670,FRA,340
LEX,4017,DFW,3670,LHR,507
LEX,4017,DFW,3670,MAD,1229
LEX,4017,IAH,3550,LHR,507
LEX,4017,ORD,3830,ATL,3682
LEX,4017,ORD,3830,CDG,1382
LEX,4017,ORD,3830,DUB,599
LEX,4017,ORD,3830,DUS,345
LEX,4017,ORD,3830,FCO,1555
LEX,4017,ORD,3830,LHR,507
LEX,4017,ORD,3830,MAD,1229
LEX,4017,ORD,3830,MAN,478
LEX,4017,ORD,3830,MSY,3861
LEX,4017,DFW,3670,GIG,2560
LEX,4017,DFW,3670,GRU,2564
LEX,4017,DFW,3670,MSY,3861
LEX,4017,DFW,3670,NRT,2279
LEX,4017,ORD,3830,ATL,3682
LEX,4017,ORD,3830,MSY,3861
LEX,4017,ORD,3830,NRT,2279
LEX,4017,ATL,3682,GIG,2560
LEX,4017,ATL,3682,ICN,3930
LEX,4017,ATL,3682,JFK,3797
LEX,4017,ATL,3682,SCL,2650
LEX,4017,DFW,3670,ICN,3930
LEX,4017,IAH,3550,ICN,3930
LEX,4017,ORD,3830,ICN,3930
LEX,4017,ATL,3682,ABE,4355
LEX,4017,ATL,3682,ABQ,4019
LEX,4017,ATL,3682,ABY,5715
LEX,4017,ATL,3682,AEX,3852
LEX,4017,ATL,3682,AGS,3658
LEX,4017,ATL,3682,ALB,3864
LEX,4017,ATL,3682,AMS,580
LEX,4017,ATL,3682,ATW,4047
LEX,4017,ATL,3682,AUS,3673
LEX,4017,ATL,3682,AVL,4007
LEX,4017,ATL,3682,AVP,4286
LEX,4017,ATL,3682,BDL,3825
LEX,4017,ATL,3682,BHM,3811
LEX,4017,ATL,3682,BMI,4037
LEX,4017,ATL,3682,BNA,3690
LEX,4017,ATL,3682,BOS,3448
LEX,4017,ATL,3682,BQK,5725
LEX,4017,ATL,3682,BRU,302
LEX,4017,ATL,3682,BTR,3846
LEX,4017,ATL,3682,BTV,3711
LEX,4017,ATL,3682,BUF,3820
LEX,4017,ATL,3682,BWI,3849
