,GEO.id,GEO.id2,GEO.display-label,P1-D001,P3-D001,P3-D002,P3-D003,P3-D004,P3-D005,P3-D006,P3-D007,P3-D008,P4-D001,P4-D002,P4-D003,H1-D001,H3-D001,H3-D002,H3-D003,H4-D001,H4-D002,H4-D003,H4-D004,H5-D001,H5-D002,H5-D003,H5-D004,H5-D005,H5-D006,H5-D007,H5-D008,tract,county,state,pct_rent,pct_black,pct_asian,pct_white,pct_hisp,pct_vacant
161,1400000US21037052800,21037052800,"Census Tract 528, Campbell County, Kentucky",3561,3561,3368,70,1,33,0,19,70,3561,3470,91,1582,1582,1452,130,1452,774,259,419,130,51,0,25,7,2,0,45,Census Tract 528, Campbell County, Kentucky,28.856749311294767,1.9657399606852008,0.9267059814658803,94.58017410839652,2.555461948890761,8.217446270543615
162,1400000US21037052900,21037052900,"Census Tract 529, Campbell County, Kentucky",5362,5362,5225,27,12,33,0,14,51,5362,5328,34,2244,2244,2129,115,2129,1162,517,450,115,43,1,35,11,4,0,21,Census Tract 529, Campbell County, Kentucky,21.136683889149836,0.5035434539350988,0.6154419992540098,97.4449832152182,0.6340917568071615,5.124777183600713
163,1400000US21037053100,21037053100,"Census Tract 531, Campbell County, Kentucky",5810,5810,5614,39,6,64,0,30,57,5810,5758,52,2554,2554,2322,232,2322,1259,477,586,232,94,4,33,11,42,0,48,Census Tract 531, Campbell County, Kentucky,25.23686477174849,0.6712564543889845,1.1015490533562824,96.62650602409639,0.8950086058519793,9.08379013312451
164,1400000US21037053200,21037053200,"Census Tract 532, Campbell County, Kentucky",2578,2578,2150,257,7,14,0,80,70,2578,2437,141,1232,1232,1014,218,1014,325,85,604,218,66,3,71,4,9,0,65,Census Tract 532, Campbell County, Kentucky,59.56607495069034,9.968968192397206,0.5430566330488751,83.39798293250583,5.469356089992242,17.694805194805195
165,1400000US21037053301,21037053301,"Census Tract 533.01, Campbell County, Kentucky",4894,4894,4533,176,2,94,0,16,73,4894,4844,50,2551,2551,2344,207,2344,1235,429,680,207,96,1,67,6,19,0,18,Census Tract 533.01, Campbell County, Kentucky,29.01023890784983,3.5962402942378424,1.9207192480588478,92.62362076011442,1.021659174499387,8.114464915719326
166,1400000US21037053302,21037053302,"Census Tract 533.02, Campbell County, Kentucky",4973,4973,4552,250,8,91,7,20,45,4973,4917,56,1975,1975,1844,131,1844,1001,311,532,131,33,1,53,3,23,0,18,Census Tract 533.02, Campbell County, Kentucky,28.850325379609544,5.027146591594612,1.8298813593404386,91.53428513975467,1.1260808365171928,6.632911392405064
167,1400000US21039960100,21039960100,"Census Tract 9601, Carlisle County, Kentucky",1599,1599,1563,1,16,8,0,4,7,1599,1577,22,723,723,629,94,629,291,258,80,94,10,2,6,5,12,2,57,Census Tract 9601, Carlisle County, Kentucky,12.71860095389507,0.06253908692933083,0.5003126954346466,97.74859287054409,1.3758599124452784,13.001383125864455
168,1400000US21039960200,21039960200,"Census Tract 9602, Carlisle County, Kentucky",1854,1854,1801,16,5,5,0,7,20,1854,1823,31,926,926,789,137,789,330,282,177,137,25,2,16,2,16,0,76,Census Tract 9602, Carlisle County, Kentucky,22.433460076045627,0.8629989212513484,0.2696871628910464,97.14131607335491,1.6720604099244876,14.794816414686826
169,1400000US21039960300,21039960300,"Census Tract 9603, Carlisle County, Kentucky",1651,1651,1597,22,7,1,0,5,19,1651,1621,30,792,792,698,94,698,291,278,129,94,14,0,12,10,19,1,38,Census Tract 9603, Carlisle County, Kentucky,18.48137535816619,1.3325257419745609,0.06056935190793458,96.72925499697153,1.8170805572380373,11.868686868686869
170,1400000US21041950100,21041950100,"Census Tract 9501, Carroll County, Kentucky",2498,2498,2354,33,6,10,0,43,52,2498,2407,91,1131,1131,933,198,933,397,290,246,198,50,2,17,4,42,2,81,Census Tract 9501, Carroll County, Kentucky,26.366559485530544,1.3210568454763811,0.4003202562049639,94.23538831064852,3.642914331465172,17.50663129973475
171,1400000US21041950200,21041950200,"Census Tract 9502, Carroll County, Kentucky",6155,6155,5523,126,12,37,1,294,162,6155,5504,651,2621,2621,2309,312,2309,770,434,1105,312,184,9,44,5,19,1,50,Census Tract 9502, Carroll County, Kentucky,47.856214811606755,2.047116165718928,0.6011372867587328,89.731925264013,10.57676685621446,11.903853491033956
172,1400000US21041950300,21041950300,"Census Tract 9503, Carroll County, Kentucky",2158,2158,2078,4,10,13,1,14,38,2158,2111,47,944,944,819,125,819,390,259,170,125,15,0,12,8,33,0,57,Census Tract 9503, Carroll County, Kentucky,20.757020757020758,0.18535681186283595,0.6024096385542169,96.29286376274328,2.1779425393883227,13.241525423728815
173,1400000US21043960100,21043960100,"Census Tract 9601, Carter County, Kentucky",3539,3539,3493,5,15,3,0,3,20,3539,3516,23,1578,1578,1353,225,1353,461,688,204,225,35,7,20,34,18,0,111,Census Tract 9601, Carter County, Kentucky,15.077605321507761,0.14128284826222096,0.08476970895733257,98.70019779598756,0.6499011020062164,14.258555133079847
174,1400000US21043960200,21043960200,"Census Tract 9602, Carter County, Kentucky",4045,4045,3989,13,4,0,2,5,32,4045,4020,25,1925,1925,1634,291,1634,522,732,380,291,57,3,27,18,35,0,151,Census Tract 9602, Carter County, Kentucky,23.25581395348837,0.32138442521631644,0.0,98.61557478368356,0.6180469715698393,15.116883116883118
175,1400000US21043960300,21043960300,"Census Tract 9603, Carter County, Kentucky",3183,3183,3139,0,9,2,0,6,27,3183,3144,39,1474,1474,1222,252,1222,467,576,179,252,40,2,26,21,54,0,109,Census Tract 9603, Carter County, Kentucky,14.648117839607202,0.0,0.06283380458686773,98.6176562990889,1.2252591894439209,17.096336499321573
176,1400000US21043960400,21043960400,"Census Tract 9604, Carter County, Kentucky",1951,1951,1917,2,12,2,0,4,14,1951,1933,18,935,935,776,159,776,294,376,106,159,13,2,9,8,29,0,98,Census Tract 9604, Carter County, Kentucky,13.65979381443299,0.10251153254741158,0.10251153254741158,98.25730394669401,0.9226037929267042,17.005347593582886
177,1400000US21043960500,21043960500,"Census Tract 9605, Carter County, Kentucky",4337,4337,4134,108,9,19,0,26,41,4337,4248,89,1806,1806,1602,204,1602,583,479,540,204,61,4,32,11,11,0,85,Census Tract 9605, Carter County, Kentucky,33.70786516853933,2.490200599492737,0.4380908462070556,95.31934516947199,2.052109753285681,11.295681063122924
178,1400000US21043960600,21043960600,"Census Tract 9606, Carter County, Kentucky",6401,6401,6245,9,13,14,3,57,60,6401,6292,109,2738,2738,2535,203,2535,1034,831,670,203,72,0,26,11,7,0,87,Census Tract 9606, Carter County, Kentucky,26.429980276134124,0.14060303077644118,0.21871582565224185,97.56288079987502,1.7028589282924542,7.414170927684441
179,1400000US21043960700,21043960700,"Census Tract 9607, Carter County, Kentucky",4264,4264,4184,10,5,11,0,9,45,4264,4246,18,1855,1855,1638,217,1638,640,742,256,217,49,2,15,9,24,0,118,Census Tract 9607, Carter County, Kentucky,15.628815628815628,0.23452157598499063,0.2579737335834897,98.12382739212008,0.42213883677298314,11.69811320754717
180,1400000US21045950100,21045950100,"Census Tract 9501, Casey County, Kentucky",1297,1297,1261,2,1,2,0,16,15,1297,1271,26,666,666,534,132,534,222,216,96,132,9,0,8,8,38,2,67,Census Tract 9501, Casey County, Kentucky,17.97752808988764,0.15420200462606012,0.15420200462606012,97.22436391673092,2.004626060138782,19.81981981981982
181,1400000US21045950200,21045950200,"Census Tract 9502, Casey County, Kentucky",2370,2370,2314,6,7,5,0,16,22,2370,2331,39,1178,1178,978,200,978,422,397,159,200,14,1,11,4,59,2,109,Census Tract 9502, Casey County, Kentucky,16.257668711656443,0.25316455696202533,0.21097046413502107,97.63713080168776,1.6455696202531647,16.97792869269949
182,1400000US21045950300,21045950300,"Census Tract 9503, Casey County, Kentucky",6491,6491,6283,50,10,14,5,72,57,6491,6292,199,2987,2987,2600,387,2600,914,934,752,387,74,3,28,13,59,2,208,Census Tract 9503, Casey County, Kentucky,28.923076923076923,0.7702973347712216,0.21568325373594208,96.79556308735172,3.0657833923894624,12.956143287579511
183,1400000US21045950400,21045950400,"Census Tract 9504, Casey County, Kentucky",3240,3240,3185,5,13,3,0,11,23,3240,3203,37,1510,1510,1299,211,1299,533,533,233,211,29,4,11,11,50,1,105,Census Tract 9504, Casey County, Kentucky,17.936874518860662,0.15432098765432098,0.0925925925925926,98.30246913580247,1.1419753086419753,13.973509933774833
184,1400000US21045950500,21045950500,"Census Tract 9505, Casey County, Kentucky",2557,2557,2462,22,1,6,0,44,22,2557,2480,77,1146,1146,940,206,940,349,416,175,206,17,3,16,2,32,0,136,Census Tract 9505, Casey County, Kentucky,18.617021276595743,0.8603832616347282,0.23464998044583496,96.28470864294094,3.0113414157215486,17.975567190226876
185,1400000US21047200100,21047200100,"Census Tract 2001, Christian County, Kentucky",4045,4045,1621,2201,12,15,1,108,87,4045,3852,193,1933,1933,1668,265,1668,347,211,1110,265,80,10,21,14,3,1,136,Census Tract 2001, Christian County, Kentucky,66.54676258992805,54.412855377008654,0.3708281829419036,40.07416563658838,4.77132262051916,13.70926021727884
186,1400000US21047200200,21047200200,"Census Tract 2002, Christian County, Kentucky",3880,3880,1965,1663,30,24,0,64,134,3880,3745,135,1552,1552,1404,148,1404,318,195,891,148,54,2,9,3,2,0,78,Census Tract 2002, Christian County, Kentucky,63.46153846153846,42.860824742268036,0.6185567010309279,50.644329896907216,3.479381443298969,9.536082474226804
187,1400000US21047200300,21047200300,"Census Tract 2003, Christian County, Kentucky",3559,3559,1937,1459,6,19,7,40,91,3559,3431,128,1604,1604,1240,364,1240,305,312,623,364,227,3,10,5,13,0,106,Census Tract 2003, Christian County, Kentucky,50.24193548387097,40.99466142174768,0.5338578252318067,54.425400393368925,3.596515875245856,22.693266832917704
188,1400000US21047200400,21047200400,"Census Tract 2004, Christian County, Kentucky",2632,2632,641,1836,6,6,2,73,68,2632,2459,173,1301,1301,1117,184,1117,266,205,646,184,82,3,14,1,2,0,82,Census Tract 2004, Christian County, Kentucky,57.833482542524614,69.75683890577507,0.22796352583586624,24.354103343465045,6.572948328267477,14.142966948501154
189,1400000US21047200500,21047200500,"Census Tract 2005, Christian County, Kentucky",4205,4205,3404,475,16,113,9,59,129,4205,4042,163,2098,2098,1899,199,1899,674,331,894,199,137,6,29,7,3,0,17,Census Tract 2005, Christian County, Kentucky,47.077409162717224,11.296076099881095,2.6872770511296076,80.9512485136742,3.8763376932223546,9.485224022878933
190,1400000US21047200600,21047200600,"Census Tract 2006, Christian County, Kentucky",4608,4608,3812,592,6,70,6,33,89,4608,4507,101,1959,1959,1835,124,1835,948,426,461,124,36,0,35,3,8,0,42,Census Tract 2006, Christian County, Kentucky,25.122615803814714,12.847222222222221,1.519097222222222,82.72569444444444,2.1918402777777777,6.329760081674324
191,1400000US21047200700,21047200700,"Census Tract 2007, Christian County, Kentucky",6224,6224,5252,724,22,60,3,65,98,6224,6021,203,2937,2937,2775,162,2775,1097,688,990,162,58,3,43,5,9,0,44,Census Tract 2007, Christian County, Kentucky,35.67567567567568,11.632390745501285,0.9640102827763496,84.38303341902314,3.2615681233933165,5.515832482124617
